aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,1,10,private,99.7,2,99.5,23,74.6,118,93.0,10,93.4,3,92.1,2,38 : 62,"11,231",34%,8.7,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,2,20,private,96.1,10,71.0,79,70.2,136,90.7,20,90.1,8,94.5,1,43 : 57,"15,878",23%,7.4,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/stanford-university
University of Oxford,,United Kingdom,0,University of Oxford,468,3,30,master_account,83.8,65,89.3,43,90.9,34,90.5,30,96.2,2,89.9,6,46 : 54,"20,298",40%,11.0,Economics & Econometrics,/world-university-rankings/university-oxford
University of Cambridge,,United Kingdom,0,University of Cambridge,470,4,40,master_account,86.3,45,32.0,386,93.5,13,88.6,40,91.4,5,90.6,4,46 : 54,"18,749",37%,10.9,Economics & Econometrics,/world-university-rankings/university-cambridge
Duke University,,United States,0,Duke University,487,5,50,private,95.2,11,100.0,4,62.0,170,87.7,50,88.9,11,86.8,13,48 : 52,"15,037",18%,4.4,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/duke-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,6,60,public,97.0,8,30.7,485,45.8,267,87.6,60,96.6,1,87.2,11,51 : 49,"36,468",17%,13.2,"Economics & Econometrics,Business & Management",/world-university-rankings/university-california-berkeley
Harvard University,,United States,0,Harvard University,466,7,70,private,99.4,4,30.4,542,54.2,218,87.5,70,89.3,9,90.2,5,48 : 52,"20,595",26%,9.1,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/harvard-university
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,8,80,master_account,88.6,36,33.1,341,95.0,8,87.3,80,92.2,4,83.3,18,52 : 48,"10,028",70%,11.8,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/london-school-economics-and-political-science
Yale University,,United States,0,Yale University,475,9,90,private,97.7,6,30.4,583,59.4,186,87.1,90,87.4,14,90.7,3,50 : 50,"12,318",20%,5.2,"Business & Management,Economics & Econometrics",/world-university-rankings/yale-university
University of Pennsylvania,,United States,0,University of Pennsylvania,480,10,100,private,94.9,13,38.6,230,52.5,225,85.8,100,89.1,10,88.5,7,52 : 48,"20,443",20%,6.4,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/university-pennsylvania
University of Chicago,,United States,11,University of Chicago,473,11,110,private,99.4,3,30.8,475,58.4,192,85.5,110,84.7,19,87.5,10,44 : 56,"13,562",25%,6.1,"Economics & Econometrics,Business & Management,Accounting & Finance",/world-university-rankings/university-chicago
Northwestern University,,United States,0,Northwestern University,490,12,120,private,95.1,12,34.0,314,58.0,194,85.3,120,86.9,15,87.7,9,48 : 52,"17,600",19%,13.0,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/northwestern-university
