aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,10,master_account,74.0,30,87.7,15,90.2,33,84.7,10,98.3,3,83.0,13,46 : 54,"20,664",41%,11.2,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Harvard University,,United States,0,Harvard University,466,2,20,private,66.7,72,44.7,285,77.7,92,82.7,20,98.4,2,92.1,1,49 : 51,"20,823",24%,9.2,"Other Health,Medicine & Dentistry",/world-university-rankings/harvard-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,3,30,master_account,68.8,57,50.0,148,88.5,40,80.4,30,98.8,1,77.4,25,47 : 53,"18,978",37%,10.9,Medicine & Dentistry,/world-university-rankings/university-cambridge
Imperial College London,,United Kingdom,0,Imperial College London,472,4,40,master_account,69.0,56,55.6,95,93.6,15,80.0,40,90.3,10,82.2,15,38 : 62,"16,760",56%,11.7,"Medicine & Dentistry,Other Health",/world-university-rankings/imperial-college-london
Stanford University,,United States,11,Stanford University,467,5,50,private,73.3,32,50.3,145,60.3,213,79.7,50,89.5,15,85.9,10,43 : 57,"16,135",23%,7.3,"Medicine & Dentistry,Other Health",/world-university-rankings/stanford-university
University of Toronto,,Canada,0,University of Toronto,483,6,60,master_account,61.6,157,60.0,75,71.1,143,78.9,60,96.6,4,87.0,4,59 : 41,"73,370",21%,20.1,"Other Health,Medicine & Dentistry",/world-university-rankings/university-toronto
Johns Hopkins University,,United States,0,Johns Hopkins University,478,7,70,private,67.0,70,64.1,57,69.7,154,78.8,70,90.1,13,86.2,8,52 : 48,"16,171",26%,4.5,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
UCL ucl UCL,,United Kingdom,0,UCL,481,8,80,master_account,65.2,94,48.6,178,94.4,12,78.1,80,90.4,9,80.4,17,57 : 43,"32,665",52%,10.6,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
Yale University,,United States,0,Yale University,475,9,90,private,65.5,87,50.3,146,60.8,210,77.3,90,90.3,12,86.4,6,50 : 50,"12,402",20%,5.4,"Medicine & Dentistry,Other Health",/world-university-rankings/yale-university
Columbia University,,United States,0,Columbia University,476,10,100,private,68.1,60,46.8,213,65.4,182,76.8,100,84.4,21,86.2,7,,"26,586",37%,5.8,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,11,110,public,66.8,71,49.6,156,55.9,245,76.7,110,84.9,20,89.5,2,54 : 46,"41,066",17%,9.4,"Other Health,Medicine & Dentistry",/world-university-rankings/university-california-los-angeles
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,=12,120,public,67.8,62,45.2,263,63.0,199,76.6,120,91.9,7,79.0,20,50 : 50,"41,081",17%,13.7,Other Health,/world-university-rankings/university-california-berkeley
Karolinska Institute,,Sweden,0,Karolinska Institute,496,=12,130,master_account,62.0,144,52.6,123,86.4,49,76.6,130,93.7,5,77.5,24,68 : 32,"7,777",20%,9.0,"Other Health,Medicine & Dentistry",/world-university-rankings/karolinska-institute
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,14,140,master_account,63.0,125,84.5,20,90.8,29,76.4,140,88.0,16,77.1,26,56 : 44,"47,385",46%,26.3,"Medicine & Dentistry,Other Health",/world-university-rankings/university-melbourne
University of Pennsylvania,,United States,0,University of Pennsylvania,480,15,150,private,67.6,65,60.0,74,48.4,320,76.3,150,86.9,18,85.9,9,52 : 48,"20,578",21%,6.5,"Other Health,Medicine & Dentistry",/world-university-rankings/university-pennsylvania
University of Washington,,United States,0,University of Washington,489,16,160,public,68.2,59,48.0,188,46.1,357,74.8,160,86.6,19,81.5,16,53 : 47,"45,692",16%,11.1,"Other Health,Medicine & Dentistry",/world-university-rankings/university-washington
King’s College London,,United Kingdom,11,King’s College London,520,17,170,master_account,63.9,112,47.3,203,91.7,24,74.2,170,83.2,23,76.0,28,62 : 38,"26,057",44%,12.5,"Other Health,Medicine & Dentistry",/world-university-rankings/kings-college-london
Duke University,,United States,0,Duke University,487,18,180,private,66.0,80,74.8,33,42.9,403,74.0,180,82.8,24,83.9,11,49 : 51,"15,309",19%,4.3,"Other Health,Medicine & Dentistry",/world-university-rankings/duke-university
National University of Singapore nus,,Singapore,6,National University of Singapore,504,19,190,master_account,52.9,309,46.6,222,87.2,47,73.9,190,90.3,11,83.2,12,51 : 49,"30,869",28%,17.9,"Medicine & Dentistry,Other Health",/world-university-rankings/national-university-singapore
Washington University in St Louis,,United States,11,Washington University in St Louis,505,20,200,private,69.9,49,44.5,298,47.8,330,72.5,200,79.9,28,77.7,23,,"13,401",20%,7.5,"Medicine & Dentistry,Other Health",/world-university-rankings/washington-university-st-louis
