aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,1,1,private,99.7,5,89.1,34,67.0,120,94.3,1,98.1,2,92.2,2,"Biological Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Computer Science,Politics & International Studies (incl Development Studies),Chemistry,Business & Management,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Accounting & Finance,Physics & Astronomy,Electrical & Electronic Engineering,Chemical Engineering,Psychology,General Engineering,Mathematics & Statistics",/world-university-rankings/california-institute-technology
Harvard University,,United States,0,Harvard University,466,2,2,private,98.9,12,44.0,184,67.6,115,93.3,2,98.6,1,92.9,1,"Mechanical & Aerospace Engineering,Accounting & Finance,Education,Other Health,Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Medicine & Dentistry,Sociology,Biological Sciences,Psychology,Archaeology,Civil Engineering,Business & Management,Chemistry,Architecture,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Agriculture & Forestry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
University of Oxford,,United Kingdom,0,University of Oxford,468,3,3,master_account,95.5,24,72.9,69,90.7,14,93.2,3,97.7,3,88.6,6,"Mechanical & Aerospace Engineering,Computer Science,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,History, Philosophy & Theology,Other Health,Law,Geology, Environmental, Earth & Marine Sciences,Chemistry,Psychology,General Engineering,Geography,Electrical & Electronic Engineering,Economics & Econometrics,Mathematics & Statistics,Chemical Engineering,Medicine & Dentistry,Sociology",/world-university-rankings/university-oxford
Stanford University,,United States,11,Stanford University,467,4,4,private,99.1,10,63.1,94,69.0,112,92.9,4,96.7,4,91.5,3,"Archaeology,Physics & Astronomy,Law,General Engineering,Education,Sport Science,Art, Performing Arts & Design,Chemical Engineering,Business & Management,Languages, Literature & Linguistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Accounting & Finance,Economics & Econometrics,History, Philosophy & Theology,Architecture,Civil Engineering,Medicine & Dentistry,Mathematics & Statistics,Psychology,Other Health,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Veterinary Science,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology",/world-university-rankings/stanford-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,5,5,master_account,95.2,28,51.1,135,87.8,23,92.0,5,95.6,6,89.7,4,"Languages, Literature & Linguistics,Computer Science,Education,Veterinary Science,History, Philosophy & Theology,Archaeology,Chemical Engineering,Law,Biological Sciences,Psychology,Geography,Architecture,General Engineering,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Economics & Econometrics,Medicine & Dentistry,Art, Performing Arts & Design",/world-university-rankings/university-cambridge
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,6,6,private,100.0,1,95.7,28,84.3,39,91.9,6,88.2,13,89.1,5,"Veterinary Science,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Accounting & Finance,Sociology,Medicine & Dentistry,Biological Sciences,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Architecture,Civil Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Physics & Astronomy,Economics & Econometrics,Computer Science,Business & Management,Chemical Engineering,Archaeology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry,Psychology",/world-university-rankings/massachusetts-institute-technology
Princeton University,,United States,0,Princeton University,469,7,7,private,99.6,7,82.7,52,61.2,152,90.9,7,94.7,7,86.6,8,"Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Archaeology,Mechanical & Aerospace Engineering,Sociology,Civil Engineering,Other Health,Physics & Astronomy,Economics & Econometrics,Geography,Electrical & Electronic Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Psychology,Chemistry,Computer Science,General Engineering,Architecture",/world-university-rankings/princeton-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,8,8,public,99.1,11,44.8,175,58.5,178,89.5,8,96.7,5,84.2,10,"Education,Computer Science,Psychology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Art, Performing Arts & Design,Biological Sciences,Agriculture & Forestry,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Chemical Engineering,Mechanical & Aerospace Engineering,Architecture,Law,General Engineering,Physics & Astronomy,Business & Management,Chemistry,Civil Engineering,History, Philosophy & Theology,Geography,Mathematics & Statistics,Other Health,Electrical & Electronic Engineering,Languages, Literature & Linguistics",/world-university-rankings/university-california-berkeley
Imperial College London,,United Kingdom,0,Imperial College London,472,9,9,master_account,89.4,53,72.7,70,92.7,8,87.5,9,88.3,12,84.6,9,"Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Other Health,Computer Science,Physics & Astronomy,Mathematics & Statistics,Mechanical & Aerospace Engineering,Biological Sciences,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemistry",/world-university-rankings/imperial-college-london
Yale University,,United States,0,Yale University,475,9,9,private,94.0,33,42.0,208,59.8,163,87.5,10,90.8,8,88.5,7,"Sociology,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,General Engineering,Medicine & Dentistry,Chemistry,Other Health,Chemical Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Law,History, Philosophy & Theology,Economics & Econometrics,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Psychology",/world-university-rankings/yale-university
