aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,1,1,private,100.0,2,99.1,6,85.0,24,95.1,1,97.6,3,90.7,6,37 : 63,"11,074",33%,9.0,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,2,2,private,99.5,4,70.8,18,73.5,39,94.8,2,95.2,6,97.3,1,42 : 58,"15,596",22%,7.8,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/stanford-university
Princeton University,,United States,0,Princeton University,469,3,3,private,99.9,3,79.0,14,69.5,42,91.4,3,95.3,4,86.5,11,45 : 55,"7,929",27%,8.4,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/princeton-university
University of Oxford,,United Kingdom,0,University of Oxford,468,4,4,master_account,88.9,32,58.1,31,93.4,6,91.2,4,94.9,7,91.1,5,46 : 54,"19,919",34%,11.6,"Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/university-oxford
Yale University,,United States,0,Yale University,475,5,5,private,98.1,10,37.6,76,57.9,59,91.1,5,92.7,9,95.6,2,50 : 50,"11,751",20%,4.4,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/yale-university
Harvard University,,United States,0,Harvard University,466,6,6,private,98.3,7,49.7,43,68.0,45,90.8,6,97.8,1,86.1,12,,"20,152",25%,8.9,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
University of Chicago,,United States,11,University of Chicago,473,7,7,private,98.1,9,42.7,63,55.2,63,90.7,7,92.6,10,94.8,3,42 : 58,"14,221",20%,6.9,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-chicago
University of Pennsylvania,,United States,0,University of Pennsylvania,480,=8,8,private,94.4,18,40.2,67,54.2,64,89.4,9,95.3,5,91.4,4,51 : 49,"20,376",20%,6.5,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/university-pennsylvania
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,=8,9,public,94.4,17,88.4,11,41.9,84,89.4,8,97.7,2,88.0,10,48 : 52,"41,786",16%,9.0,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-michigan-ann-arbor
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,10,10,public,98.8,6,46.9,51,49.3,72,87.3,10,94.0,8,83.2,15,50 : 50,"36,186",15%,16.4,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/university-california-berkeley
University of Cambridge,,United Kingdom,0,University of Cambridge,470,11,11,master_account,81.5,52,36.7,88,90.5,9,87.2,11,91.5,11,90.0,7,46 : 54,"18,812",34%,11.8,"Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-cambridge
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,12,12,master_account,92.5,19,42.7,62,92.9,7,86.4,12,84.8,19,84.9,13,53 : 47,"9,233",70%,12.1,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/london-school-economics-and-political-science
Columbia University,,United States,0,Columbia University,476,13,13,private,90.4,29,35.2,100,68.2,43,86.2,13,88.5,15,88.4,9,,"25,055",28%,5.9,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/columbia-university
Duke University,,United States,0,Duke University,487,14,14,private,96.3,14,100.0,1,63.4,50,85.2,14,85.2,18,80.4,17,49 : 51,"15,172",17%,4.8,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/duke-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,15,15,public,92.4,20,45.5,55,45.0,78,84.8,15,91.2,12,84.5,14,52 : 48,"38,206",15%,10.3,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/university-california-los-angeles
