"UKPRN","PROVIDER_NAME","VIEW_NAME","SORT_NAME","ALIAS","FLAT_NAME_NUMBER","BUILDING_NAME_NUMBER","LOCALITY","STREET_NAME","TOWN","POSTCODE","WEBSITE_URL","WIKIPEDIA_URL","GROUPS","LONGITUDE","LATITUDE","EASTING","NORTHING","GTR_ID","HESA_ID"
"10007165","THE UNIVERSITY OF WESTMINSTER","The University of Westminster","Westminster, The University of ","","","309","","REGENT STREET","LONDON","W1B 2HW","http://www.westminster.ac.uk/","http://en.wikipedia.org/wiki/University_of_Westminster","","-0.143341","51.516794","528922","181397","BD856F04-3042-4F92-8D66-1B101801FEB8","0083"
"10007148","UNIVERSITY OF HUDDERSFIELD","University of Huddersfield","Huddersfield, University of","","","","","QUEENSGATE","HUDDERSFIELD","HD1 3DH","http://www.hud.ac.uk/","http://en.wikipedia.org/wiki/University_of_Huddersfield","University_Alliance","-1.777712","53.643730","414793","416379","DC934AED-9432-4385-AEAF-006EA2369001","0061"
"10005545","ROYAL AGRICULTURAL UNIVERSITY","Royal Agricultural College","Royal Agricultural College","","","","","Stroud Road","Cirencester","GL7 6JS","http://www.rac.ac.uk/","http://en.wikipedia.org/wiki/Royal_Agricultural_College","","-1.994995","51.709495","400442","201195","","0195"
"10007765","HEYTHROP COLLEGE","Heythrop College","Heythrop College","","","23","","KENSINGTON SQUARE","LONDON","W8 5HN","http://www.heythrop.ac.uk/","http://en.wikipedia.org/wiki/Heythrop_College","Cathedrals_Group","-0.190884","51.499884","525670","179434","","0205"
"10007838","ROYAL WELSH COLLEGE OF MUSIC AND DRAMA LIMITED","Royal Welsh College of Music and Drama Limited","Royal Welsh College of Music and Drama Limited","","","","","NORTH ROAD","CARDIFF","CF10 3ER","http://www.rwcmd.ac.uk/","http://en.wikipedia.org/wiki/Royal_Welsh_College_of_Music_%26_Drama","","-3.183865","51.485645","317895","176964","",""
"10005523","ROSE BRUFORD COLLEGE","Rose Bruford College","Rose Bruford College","","","","","Lamorbey Park Burnt Oak Lane","Sidcup","DA15 9DF","http://www.bruford.ac.uk/","http://en.wikipedia.org/wiki/Rose_Bruford_College","","0.106805","51.439004","546526","173217","","0032"
"10007156","UNIVERSITY OF SALFORD, THE","University of Salford","Salford, University of","","","FARADAY HOUSE 43","","CRESCENT","SALFORD","M5 4WT","http://www.salford.ac.uk/","http://en.wikipedia.org/wiki/University_of_Salford","University_Alliance","-2.270665","53.483558","382136","398570","ED6ACD61-0140-4C05-B93D-2C6A42CA753B","0158"
"10007657","WRITTLE COLLEGE","Writtle College","Writtle College","","","","WRITTLE","LORDSHIP ROAD","CHELMSFORD","CM1 3RR","http://www.writtle.ac.uk/","http://en.wikipedia.org/wiki/Writtle_College","","0.428134","51.737004","567756","207044","76B58011-5BD1-409B-9FB3-CD15133B1E77","0189"
"10004063","LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE","London School of Economics & Political Science","London School of Economics & Political Science","","","","","HOUGHTON STREET","LONDON","WC2A 2AE","http://www.lse.ac.uk/","http://en.wikipedia.org/wiki/London_School_of_Economics","Russell_Group","-0.116707","51.513968","530778","181130","EC177B1F-35EE-4B74-981D-E8382EE3D18C","0137"
"10004351","MIDDLESEX UNIVERSITY","Middlesex University","Middlesex University","","","","","THE BURROUGHS","LONDON","NW4 4BT","http://www.mdx.ac.uk/","http://en.wikipedia.org/wiki/Middlesex_University","Million_Plus","-0.228415","51.589717","522823","189360","AB979D25-DDBE-4C82-9D51-F38618FE37BD","0067"
"10007773","OPEN UNIVERSITY(THE)","Open University(The)","Open University(The)","","","","WALTON HALL","","MILTON KEYNES","MK7 6AA","http://www.open.ac.uk/","http://en.wikipedia.org/wiki/The_Open_University","University_Alliance","-0.709726","52.024924","488625","237063","89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24","0001"
"10006022","SOUTHAMPTON SOLENT UNIVERSITY","Southampton Solent University","Southampton Solent University","","","","","EAST PARK TERRACE","SOUTHAMPTON","SO14 0YN","http://www.solent.ac.uk/","http://en.wikipedia.org/wiki/Southampton_Solent_University","Million_Plus","-1.400157","50.907738","442271","112202","DD18D9A8-0FE2-4857-A405-7F41C183F65D","0037"
"10000975","BUCKINGHAMSHIRE NEW UNIVERSITY","Buckinghamshire New University","Buckinghamshire New University","","","HIGH WYCOMBE CAMPUS","","QUEEN ALEXANDRA ROAD","HIGH WYCOMBE","HP11 2JZ","http://www.bucks.ac.uk/","http://en.wikipedia.org/wiki/Buckinghamshire_New_University","","-0.752021","51.627518","486480","192815","A6F9E630-7D6C-44A3-9E96-C6E89B68C44B","0009"
"10007167","UNIVERSITY OF YORK","University of York","York, University of","","","","HESLINGTON","","YORK","YO10 5DD","http://www.york.ac.uk/","http://en.wikipedia.org/wiki/University_of_York","N8_Research_Partnership, White_Rose_University_Consortium, Russell_Group","-1.053553","53.948437","462215","450672","8319F78A-DCBD-49F6-BE00-78E1CD75CDA9","0164"
"10007151","UNIVERSITY OF LINCOLN","University of Lincoln","Lincoln, University of","","","","","CAMPUS WAY","LINCOLN","LN6 7TS","http://www.lincoln.ac.uk/","http://en.wikipedia.org/wiki/University_of_Lincoln","University_Alliance","-0.549237","53.228855","496943","371181","D64641C7-D9A6-4B41-9C8F-03F7396CB8DA","0062"
"10007784","UNIVERSITY COLLEGE LONDON","University College London","London, University College","","","","","GOWER STREET","LONDON","WC1E 6BT","http://www.ucl.ac.uk/","http://en.wikipedia.org/wiki/University_College_London","Science_and_Engineering_South, Russell_Group","-0.133401","51.524774","529589","182302","3A5E126D-C175-4730-9B7B-E6D8CF447F83","0149"
"10000886","UNIVERSITY OF BRIGHTON","University of Brighton","Brighton, University of","","","MITHRAS HOUSE","","LEWES ROAD","BRIGHTON","BN2 4AT","http://www.brighton.ac.uk/","http://en.wikipedia.org/wiki/University_of_Brighton","","-0.119142","50.842448","532519","106455","5904176C-7486-4E2B-959A-94C29ADE4D96","0051"
"10004113","LOUGHBOROUGH UNIVERSITY","Loughborough University","Loughborough University","","","","","","LOUGHBOROUGH","LE11 3TU","http://www.lboro.ac.uk/","http://en.wikipedia.org/wiki/Loughborough_University","1994_Group, M5_Universities","-1.229467","52.764892","452089","318864","CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF","0152"
"10007833","GLYNDWR UNIVERSITY","Glyndwr University","Glyndwr University","","","PLAS COCH","","MOLD ROAD","WREXHAM","LL11 2AW","http://www.glyndwr.ac.uk/","http://en.wikipedia.org/wiki/Glynd%C5%B5r_University","","-3.005640","53.052979","332690","351107","845C79D4-F696-49C1-BE40-C7E9B890AE0C","0087"
"10007771","LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE","London School of Hygiene and Tropical Medicine","London School of Hygiene and Tropical Medicine","","","","","KEPPEL STREET","LONDON","WC1E 7HT","http://www.lshtm.ac.uk/","http://en.wikipedia.org/wiki/London_School_of_Hygiene_and_Tropical_Medicine","","-0.130661","51.520927","529790","181879","4EE756E0-F50C-413B-8A73-B2876EC01D01","0138"
"10003956","LIVERPOOL HOPE UNIVERSITY","Liverpool Hope University","Liverpool Hope University","","","HOPE PARK","","TAGGART AVENUE","LIVERPOOL","L16 9JD","http://www.hope.ac.uk/","http://en.wikipedia.org/wiki/Liverpool_Hope_University","Cathedrals_Group","-2.891936","53.391491","340781","388664","B4833390-EB88-4440-ABE0-E80140B75D12","0023"
"10007147","UNIVERSITY OF HERTFORDSHIRE","University of Hertfordshire","Hertfordshire, University of","","","","","COLLEGE LANE","HATFIELD","AL10 9AB","http://www.herts.ac.uk/","http://en.wikipedia.org/wiki/University_of_Hertfordshire","University_Alliance","-0.242150","51.752882","521435","207482","5E589D68-A73C-42BB-892C-BC508C7B60CA","0060"
"10007157","UNIVERSITY OF SHEFFIELD","University of Sheffield","Sheffield, University of","","","","","WESTERN BANK","SHEFFIELD","S10 2TN","http://www.shef.ac.uk/","http://en.wikipedia.org/wiki/University_of_Sheffield","N8_Research_Partnership, White_Rose_University_Consortium, Russell_Group","-1.488709","53.381409","434108","387293","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","0159"
"10007143","UNIVERSITY OF DURHAM","University of Durham","Durham, University of","","","PALATINE CENTRE","","STOCKTON ROAD","DURHAM","DH1 3LE","http://www.dur.ac.uk/","http://en.wikipedia.org/wiki/Durham_University","N8_Research_Partnership, Russell_Group","-1.571868","54.768149","427644","541552","46B41008-0EB4-4E28-BBFB-E98366999EC5","0116"
"10004797","NOTTINGHAM TRENT UNIVERSITY","Nottingham Trent University","Nottingham Trent University","","","","","BURTON STREET","NOTTINGHAM","NG1 4BU","http://www.ntu.ac.uk/","http://en.wikipedia.org/wiki/Nottingham_Trent_University","University_Alliance","-1.152002","52.956383","457065","340224","1529782F-9068-4364-888E-46E4FC4881F5","0071"
"10007805","UNIVERSITY OF STRATHCLYDE","University of Strathclyde","Strathclyde, University of","","","MCCANCE BUILDING 16","","RICHMOND STREET","GLASGOW","G1 1XQ","http://www.strath.ac.uk/","http://en.wikipedia.org/wiki/University_of_Strathclyde","","-4.244586","55.861363","259616","665410","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","0169"
"10007137","THE UNIVERSITY OF CHICHESTER","The University of Chichester","Chichester, The University of ","","","BISHOP OTTER CAMPUS","","COLLEGE LANE","CHICHESTER","PO19 6PE","http://www.chi.ac.uk/","http://en.wikipedia.org/wiki/University_of_Chichester","Cathedrals_Group","-0.774409","50.844268","486383","105688","FA776DBE-78D5-49D0-AFA1-77BEC03EFF15","0082"
"10007764","HERIOT-WATT UNIVERSITY","Heriot-Watt University","Heriot-Watt University","","","","RICCARTON","","CURRIE","EH14 4AS","http://www.hw.ac.uk/","http://en.wikipedia.org/wiki/Heriot-Watt_University","","-3.320697","55.909398","317537","669266","E5A82D2C-5AD4-488A-ACFF-566345A5D6DA","0171"
"10007769","LONDON BUSINESS SCHOOL","London Business School","London Business School","","","","","SUSSEX PLACE","LONDON","NW1 4SA","http://www.london.edu/","http://en.wikipedia.org/wiki/London_Business_School","","-0.161353","51.526583","527645","182454","1211323E-1950-4CCC-8DCB-1490BD74D17F","0135"
"10006840","UNIVERSITY OF BIRMINGHAM","University of Birmingham","Birmingham, University of","","","","EDGBASTON","","BIRMINGHAM","B15 2TT","http://www.birmingham.ac.uk/","http://en.wikipedia.org/wiki/University_of_Birmingham","NCUK, M5_Universities, Russell_Group","-1.930855","52.448986","404796","283448","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","0110"
"10007842","THE UNIVERSITY OF CUMBRIA","The University of Cumbria","Cumbria, The University of ","","","","","FUSEHILL STREET","CARLISLE","CA1 2HH","http://www.cumbria.ac.uk/","http://en.wikipedia.org/wiki/University_of_Cumbria","Million_Plus, Cathedrals_Group","-2.921482","54.891124","340992","555542","ECA474B6-9AAC-445C-97E4-019D2A903C89","0038"
"10007792","UNIVERSITY OF EXETER","University of Exeter","Exeter, University of","","","","","STOCKER ROAD","EXETER","EX4 4PY","http://www.exeter.ac.uk/","http://en.wikipedia.org/wiki/University_of_Exeter","GW4, Russell_Group","-3.534370","50.735199","291819.00","93967.00","961756BF-E31F-4A13-836F-0A09BA02385C","0119"
"10005790","SHEFFIELD HALLAM UNIVERSITY","Sheffield Hallam University","Sheffield Hallam University","","","CITY CAMPUS","","POND STREET","SHEFFIELD","S1 1WB","http://www.shu.ac.uk/","http://en.wikipedia.org/wiki/Sheffield_Hallam_University","University_Alliance","-1.465255","53.379212","435670","387060","52FDE897-E62F-4388-A588-9382D1E7C2D3","0075"
"10007852","UNIVERSITY OF DUNDEE","University of Dundee","Dundee, University of","","","","","PERTH ROAD","DUNDEE","DD1 4HN","http://www.dundee.ac.uk/","http://en.wikipedia.org/wiki/University_of_Dundee","","-2.978480","56.457200","339795","729880","90051600-6EF2-4093-BA8C-2B4B6F550895","0172"
"10005700","SRUC","Sruc","Sruc","","","","","KING'S BUILDINGS WEST MAINS ROAD","EDINBURGH","EH9 3JG","http://www.sruc.ac.uk/","http://en.wikipedia.org/wiki/Scotland%27s_Rural_University_College","","-3.176533","55.921607","326572","670462","ADA27054-A467-49BE-A71E-358C6062A9E3","0175"
"10007776","ROEHAMPTON UNIVERSITY","Roehampton University","Roehampton University","","","ERASMUS HOUSE","","ROEHAMPTON LANE","LONDON","SW15 5PJ","http://www.roehampton.ac.uk/","http://en.wikipedia.org/wiki/Roehampton_University","Cathedrals_Group","-0.245983","51.455119","521965","174363","0107329B-F086-4C36-8652-5AF6752EC6DC","0031"
"10007159","UNIVERSITY OF SUNDERLAND","University of Sunderland","Sunderland, University of","","","","","CHESTER ROAD","SUNDERLAND","SR1 3SD","http://www.sunderland.ac.uk/","http://en.wikipedia.org/wiki/University_of_Sunderland","Million_Plus","-1.391361","54.904502","439126","556811","CDD64036-C7C4-4924-8321-6076FB363042","0078"
"10000291","ANGLIA RUSKIN UNIVERSITY","Anglia Ruskin University","Anglia Ruskin University","","","","","BISHOP HALL LANE","CHELMSFORD","CM1 1SQ","http://www.anglia.ac.uk/","http://en.wikipedia.org/wiki/Anglia_Ruskin_University","Million_Plus","0.474311","51.741266","570928","207625","56F19F82-4654-46D6-891A-EA80CBC02587","0047"
"10007766","INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON","Institute of Education, University of London","Education, University of London, Institute of","","","20","","BEDFORD WAY","LONDON","WC1H 0AL","http://www.ioe.ac.uk/","http://en.wikipedia.org/wiki/Institute_of_Education","1994_Group","-0.128481","51.523473","529934","182166","0D34D81A-A62C-4B11-8A90-ACB670C0AE91","0133"
"10007855","SWANSEA UNIVERSITY","Swansea University","Swansea University","","","","","SINGLETON PARK","SWANSEA","SA2 8PP","http://www.swan.ac.uk/","http://en.wikipedia.org/wiki/Swansea_University","","-3.980649","51.609622","262948","191946","AB307619-D4FA-427E-A042-09DBEBA84669","0180"
"10005553","ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE","Royal Holloway College and Bedford New College","Royal Holloway College and Bedford New College","","","","","EGHAM HILL","EGHAM","TW20 0EX","http://www.rhul.ac.uk/","http://en.wikipedia.org/wiki/Royal_Holloway,_University_of_London","1994_Group","-0.567199","51.425323","499713","170564","A6D6F944-7BD0-49D0-8F3D-1D5B15E2E134","0141"
"10007777","ROYAL COLLEGE OF ART(THE)","Royal College of Art(The)","Royal College of Art(The)","","","","","KENSINGTON GORE","LONDON","SW7 2EU","http://www.rca.ac.uk/","http://en.wikipedia.org/wiki/Royal_College_of_Art","","-0.178449","51.501355","526529","179619","952043EA-E747-4132-B064-2CE0F7E61E93","0003"
"10007822","CRANFIELD UNIVERSITY","Cranfield University","Cranfield University","","","","CRANFIELD","COLLEGE ROAD","BEDFORD","MK43 0AL","http://www.cranfield.ac.uk/","http://en.wikipedia.org/wiki/Cranfield_University","","-0.628735","52.073929","494079","242615","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","0002"
"10007767","UNIVERSITY OF KEELE","University of Keele","Keele, University of","","","","KEELE","","NEWCASTLE","ST5 5BG","http://www.keele.ac.uk/","http://en.wikipedia.org/wiki/Keele_University","","-2.274598","53.003969","381670","345217","FC59975E-26E8-4A62-ABD8-A570DC6ABF06","0121"
"10003863","LEEDS TRINITY UNIVERSITY","Leeds Trinity University College","Leeds Trinity University College","","","","HORSFORTH","BROWNBERRIE LANE","LEEDS","LS18 5HD","http://www.leedstrinity.ac.uk/","http://en.wikipedia.org/wiki/Leeds_Trinity_University_College","Cathedrals_Group","-1.648100","53.848573","423249","439204","","0040"
"10003645","KING'S COLLEGE LONDON","King's College London","King's College London","","","","","STRAND","LONDON","WC2R 2LS","http://www.kcl.ac.uk/","http://en.wikipedia.org/wiki/King%27s_College_London","Science_and_Engineering_South, Russell_Group","-0.116912","51.510734","530773","180770","318B5D98-4CB4-4B10-A876-08FC93071A56","0134"
"10007782","ST. GEORGE'S, UNIVERSITY OF LONDON","St George's Hospital Medical School","St George's Hospital Medical School","","","","","CRANMER TERRACE","LONDON","SW17 0RE","http://www.sgul.ac.uk/","http://en.wikipedia.org/wiki/St_George%27s,_University_of_London","","-0.173355","51.427985","527086","171469","F325BF32-08AE-4621-8057-E5D6613B7308","0145"
"10004775","NORWICH UNIVERSITY OF THE ARTS","Norwich University College of the Arts","Norwich University College of the Arts","","","3","","REDWELL STREET","NORWICH","NR2 4SN","http://www.nua.ac.uk/","http://en.wikipedia.org/wiki/Norwich_University_College_of_the_Arts","","1.296600","52.630313","623191","308717","4E4178A7-8BDF-4990-8D4A-67DB8A9695F3","0190"
"10003854","LEEDS COLLEGE OF ART","Leeds College of Art","Leeds College of Art","","","","","BLENHEIM WALK","LEEDS","LS2 9AQ","http://www.leeds-art.ac.uk/","http://en.wikipedia.org/wiki/Leeds_College_of_Art","","-1.551780","53.808463","429614","434777","","0211"
"10007759","ASTON UNIVERSITY","Aston University","Aston University","","","","","THE ASTON TRIANGLE","BIRMINGHAM","B4 7ET","http://www.aston.ac.uk/","http://en.wikipedia.org/wiki/Aston_University","NCUK, M5_Universities","-1.890947","52.486651","407502","287641","5BFB9036-9D16-4AB9-A9EF-097BB6FBD69A","0108"
"10007848","UNIVERSITY OF CHESTER","University of Chester","Chester, University of","","","","","PARKGATE ROAD","CHESTER","CH1 4BJ","http://www.chester.ac.uk/","http://en.wikipedia.org/wiki/University_of_Chester","Cathedrals_Group","-2.898063","53.198657","340104","367217","A7AF2001-3B9F-4618-AEDF-C2DDEE927102","0011"
"10007783","UNIVERSITY OF ABERDEEN","University of Aberdeen","Aberdeen, University of","","","","","REGENT WALK","ABERDEEN","AB24 3FX","http://www.abdn.ac.uk/","http://en.wikipedia.org/wiki/University_of_Aberdeen","","-2.099129","57.165003","394104","808245","F7E13617-2678-475B-99E4-31479C92038D","0170"
"10007798","THE UNIVERSITY OF MANCHESTER","The University of Manchester","Manchester, The University of ","","","","","OXFORD ROAD","MANCHESTER","M13 9PL","http://www.manchester.ac.uk/","http://en.wikipedia.org/wiki/University_of_Manchester","N8_Research_Partnership, Russell_Group","-2.233222","53.467943","384615","396824","E5AFE7E4-FF5D-4FF1-B50B-E04A6DF7D791","0204"
"10005561","ROYAL CONSERVATOIRE OF SCOTLAND","Royal Conservatoire of Scotland","Royal Conservatoire of Scotland","","","100","","RENFREW STREET","GLASGOW","G2 3DB","http://www.rcs.ac.uk/","http://en.wikipedia.org/wiki/Royal_Conservatoire_of_Scotland","","-4.257632","55.866140","258817","665968","","0101"
"10007154","UNIVERSITY OF NOTTINGHAM, THE","University of Nottingham","Nottingham, University of","","","","","UNIVERSITY PARK","NOTTINGHAM","NG7 2RD","http://www.nottingham.ac.uk/","http://en.wikipedia.org/wiki/University_of_Nottingham","M5_Universities, Russell_Group","-1.186477","52.941271","454768","338516","936D002F-A8D1-4A93-AE5D-825ED0903D8D","0155"
"10008010","STRANMILLIS UNIVERSITY COLLEGE","Stranmillis University College","Stranmillis University College","","","","","STRANMILLIS ROAD","BELFAST","BT9 5DY","http://www.stran.ac.uk/","http://en.wikipedia.org/wiki/Stranmillis_University_College","","-5.9352","54.5733","","","","0193"
"10007799","NEWCASTLE UNIVERSITY","University of Newcastle Upon Tyne","Newcastle Upon Tyne, University of","","","","","CLAREMONT ROAD","NEWCASTLE UPON TYNE","NE1 7RU","http://www.ncl.ac.uk/","http://en.wikipedia.org/wiki/Newcastle_University","N8_Research_Partnership, Russell_Group","-1.615727","54.980327","424693","565147","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","0154"
"10007857","BANGOR UNIVERSITY","Bangor University","Bangor University","","","","","COLLEGE ROAD","BANGOR","LL57 2DG","http://www.bangor.ac.uk/","http://en.wikipedia.org/wiki/Bangor_University","ABSA","-4.129505","53.229236","257949","372359","F9F1D136-12E3-4BE4-9668-0C9BC4A7C1BF","0178"
"10037449","UNIVERSITY OF ST MARK & ST JOHN","University of St Mark & St John","St Mark & St John, University of","","","","DERRIFORD","DERRIFORD ROAD","PLYMOUTH","PL6 8BH","http:///","https://en.wikipedia.org/wiki/University_of_St_Mark_%26_St_John","Cathedrals_Group","-4.110286","50.421023","250187","60037","","0014"
